timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T17:44:48.230309+00:00,58,0.16584906,0.00226443,4.630971,1542.772264
2026-03-21T17:44:52.290431+00:00,59,0.14390714,0.00129071,4.060127,1546.832391
2026-03-21T17:44:56.314834+00:00,60,0.15545973,0.00145264,4.024404,1550.856795
2026-03-21T17:45:00.355725+00:00,61,0.14936024,0.00153982,4.040891,1554.897686
2026-03-21T17:45:04.356178+00:00,62,0.16861098,0.0014514,4.000453,1558.898138
2026-03-21T17:45:08.361615+00:00,63,0.13992277,0.00149895,4.005436,1562.903574
2026-03-21T17:45:12.411303+00:00,64,0.1636872,0.0014767,4.049689,1566.953263
2026-03-21T17:45:16.392079+00:00,65,0.16110127,0.00139084,3.980776,1570.934040
2026-03-21T17:45:20.391743+00:00,66,0.18218136,0.00211193,3.999663,1574.933703
2026-03-21T17:45:24.382352+00:00,67,0.21034926,0.00165823,3.990609,1578.924312
2026-03-21T17:45:28.377082+00:00,68,0.15969948,0.00146687,3.994730,1582.919042
2026-03-21T17:45:32.362995+00:00,69,0.15482977,0.00156756,3.985913,1586.904955
2026-03-21T17:45:36.365585+00:00,70,0.19381392,0.00173452,4.002589,1590.907544
2026-03-21T17:45:40.322429+00:00,71,0.15562904,0.00174763,3.956845,1594.864390
2026-03-21T17:45:44.292965+00:00,72,0.16647169,0.00161551,3.970535,1598.834924
2026-03-21T17:45:48.309645+00:00,73,0.20208864,0.00156381,4.016680,1602.851605
2026-03-21T17:45:52.267334+00:00,74,0.13590614,0.00120054,3.957690,1606.809295
2026-03-21T17:45:56.238112+00:00,75,0.16378127,0.00112725,3.970777,1610.780072
2026-03-21T17:45:58.295353+00:00,76,0.17879018,0.000966472,2.057242,1612.837313
2026-03-21T17:46:02.984476+00:00,77,0.13958178,0.00120937,4.689119,1617.526432
2026-03-21T17:46:07.028254+00:00,78,0.15526167,0.00120302,4.043782,1621.570214
2026-03-21T17:46:11.109720+00:00,79,0.17499444,0.00162683,4.081467,1625.651680
2026-03-21T17:46:15.140127+00:00,80,0.22929789,0.00488914,4.030407,1629.682087
2026-03-21T17:46:19.121048+00:00,81,0.12359801,0.00135594,3.980921,1633.663008
