timestamp,global_step,loss,grad_norm_pre_clip,step_seconds,total_seconds
2026-03-21T19:13:36.207010+00:00,255,0.28697467,0.0281601,5.360706,3060.709087
2026-03-21T19:13:41.546968+00:00,256,0.27081412,0.0397019,5.339958,3066.049045
2026-03-21T19:13:46.874809+00:00,257,0.31616595,0.0333045,5.327841,3071.376886
2026-03-21T19:13:52.191286+00:00,258,0.29211447,0.0298989,5.316477,3076.693363
2026-03-21T19:13:57.510222+00:00,259,0.39332333,0.0384754,5.318937,3082.012300
2026-03-21T19:14:02.838692+00:00,260,0.31789842,0.0617005,5.328469,3087.340769
2026-03-21T19:14:08.190561+00:00,261,0.40436155,0.036646,5.351869,3092.692638
2026-03-21T19:14:13.510647+00:00,262,0.36588311,0.0519258,5.320086,3098.012724
2026-03-21T19:14:18.844687+00:00,263,0.29502124,0.0278197,5.334040,3103.346764
2026-03-21T19:14:24.180814+00:00,264,0.31834316,0.0378041,5.336127,3108.682891
2026-03-21T19:14:29.504550+00:00,265,0.31231457,0.0300679,5.323736,3114.006627
2026-03-21T19:14:32.278563+00:00,266,0.30787346,0.0183611,2.774013,3116.780640
2026-03-21T19:14:38.051620+00:00,267,0.4100008,0.0405761,5.773055,3122.553695
2026-03-21T19:14:43.391919+00:00,268,0.27199143,0.0680762,5.340301,3127.893996
2026-03-21T19:14:48.729960+00:00,269,0.29626942,0.0522547,5.338042,3133.232038
2026-03-21T19:14:54.070587+00:00,270,0.24242409,0.0457755,5.340626,3138.572664
2026-03-21T19:14:59.429149+00:00,271,0.34030098,0.0254827,5.358562,3143.931226
2026-03-21T19:15:04.986927+00:00,272,0.32172537,0.0596029,5.557778,3149.489004
2026-03-21T19:15:10.318975+00:00,273,0.34977722,0.056505,5.332048,3154.821052
2026-03-21T19:15:15.667569+00:00,274,0.3801071,0.0390431,5.348594,3160.169646
2026-03-21T19:15:20.993499+00:00,275,0.32730809,0.0487731,5.325930,3165.495576
2026-03-21T19:15:26.323492+00:00,276,0.30466041,0.0546187,5.329993,3170.825569
2026-03-21T19:15:31.682927+00:00,277,0.30801603,0.0586999,5.359435,3176.185004
2026-03-21T19:15:37.058416+00:00,278,0.3658103,0.0302591,5.375489,3181.560493
2026-03-21T19:15:42.392595+00:00,279,0.30433053,0.075753,5.334179,3186.894672
2026-03-21T19:15:47.732313+00:00,280,0.30519807,0.0552227,5.339718,3192.234390
2026-03-21T19:15:53.063716+00:00,281,0.35134268,0.0362268,5.331403,3197.565793
2026-03-21T19:15:58.399468+00:00,282,0.21954261,0.0587408,5.335752,3202.901545
2026-03-21T19:16:03.728764+00:00,283,0.28578722,0.0531618,5.329295,3208.230840
2026-03-21T19:16:09.045679+00:00,284,0.33069292,0.066758,5.316916,3213.547756
2026-03-21T19:16:11.759804+00:00,285,0.25983119,0.0221881,2.714125,3216.261881
2026-03-21T19:16:17.493384+00:00,286,0.31187299,0.0348995,5.733567,3221.995448
2026-03-21T19:16:22.812702+00:00,287,0.28359255,0.0480814,5.319331,3227.314779
2026-03-21T19:16:28.155805+00:00,288,0.3151145,0.0458996,5.343103,3232.657882
2026-03-21T19:16:33.503342+00:00,289,0.3102321,0.0411328,5.347537,3238.005419
2026-03-21T19:16:38.886777+00:00,290,0.29664806,0.0475193,5.383435,3243.388854
2026-03-21T19:16:44.220933+00:00,291,0.41574568,0.103097,5.334156,3248.723010
2026-03-21T19:16:49.567869+00:00,292,0.33434647,0.0359286,5.346936,3254.069946
2026-03-21T19:16:54.888118+00:00,293,0.28765166,0.125698,5.320249,3259.390194
